cell,corner,vdd_V,temp_C,truth_rows,directed_transitions,status,max_delay_ps,max_slew_20_80_ps
rev_not,tt,1.8,27,2,2,PASS,94.8238,94.0069
rev_not,tt,1.62,125,2,2,PASS,97.2895,100.489
rev_not,tt,1.98,-40,2,2,PASS,89.1665,86.5556
rev_not,ss,1.8,27,2,2,PASS,128.458,131.5136
rev_not,ss,1.62,125,2,2,PASS,131.9486,139.894
rev_not,ss,1.98,-40,2,2,PASS,119.2281,119.693
rev_not,ff,1.8,27,2,2,PASS,74.9453,74.0854
rev_not,ff,1.62,125,2,2,PASS,79.4098,80.5801
rev_not,ff,1.98,-40,2,2,PASS,70.7127,70.9175
rev_not,sf,1.8,27,2,2,PASS,130.164,132.948
rev_not,sf,1.62,125,2,2,PASS,137.0584,146.5867
rev_not,sf,1.98,-40,2,2,PASS,117.4135,115.9452
rev_not,fs,1.8,27,2,2,PASS,74.0782,73.8267
rev_not,fs,1.62,125,2,2,PASS,80.8062,82.8792
rev_not,fs,1.98,-40,2,2,PASS,68.6971,69.5787
rev_cnot,tt,1.8,27,4,8,PASS,188.8786,247.7548
rev_cnot,tt,1.62,125,4,8,PASS,204.3251,271.7079
rev_cnot,tt,1.98,-40,4,8,PASS,168.4699,221.3229
rev_cnot,ss,1.8,27,4,8,PASS,274.0051,359.4857
rev_cnot,ss,1.62,125,4,8,PASS,294.8149,392.3502
rev_cnot,ss,1.98,-40,4,8,PASS,241.8469,317.1326
rev_cnot,ff,1.8,27,4,8,PASS,139.83,184.7196
rev_cnot,ff,1.62,125,4,8,PASS,156.3398,207.3407
rev_cnot,ff,1.98,-40,4,8,PASS,125.9937,170.5003
rev_cnot,sf,1.8,27,4,8,PASS,239.006,342.6523
rev_cnot,sf,1.62,125,4,8,PASS,266.5165,390.342
rev_cnot,sf,1.98,-40,4,8,PASS,203.6922,289.7277
rev_cnot,fs,1.8,27,4,8,PASS,154.8425,189.4564
rev_cnot,fs,1.62,125,4,8,PASS,177.5565,216.4492
rev_cnot,fs,1.98,-40,4,8,PASS,137.6527,173.3842
rev_toffoli,tt,1.8,27,8,24,PASS,219.5764,244.1175
rev_toffoli,tt,1.62,125,8,24,PASS,243.1842,268.4951
rev_toffoli,tt,1.98,-40,8,24,PASS,195.8192,217.5893
rev_toffoli,ss,1.8,27,8,24,PASS,315.8248,354.1556
rev_toffoli,ss,1.62,125,8,24,PASS,350.147,387.6169
rev_toffoli,ss,1.98,-40,8,24,PASS,277.7637,311.7751
rev_toffoli,ff,1.8,27,8,24,PASS,163.219,181.93
rev_toffoli,ff,1.62,125,8,24,PASS,184.9901,204.7829
rev_toffoli,ff,1.98,-40,8,24,PASS,147.6454,167.493
rev_toffoli,sf,1.8,27,8,24,PASS,270.514,336.2243
rev_toffoli,sf,1.62,125,8,24,PASS,303.5897,383.6264
rev_toffoli,sf,1.98,-40,8,24,PASS,233.2645,283.9545
rev_toffoli,fs,1.8,27,8,24,PASS,192.3447,187.6523
rev_toffoli,fs,1.62,125,8,24,PASS,227.7701,215.2826
rev_toffoli,fs,1.98,-40,8,24,PASS,168.9648,171.0366
