cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_not,tt,1.8,27,A,Y,0,1,fall,50.8846,34.7106,False
rev_not,tt,1.8,27,A,Y,1,0,rise,94.8238,94.0069,False
rev_not,tt,1.62,125,A,Y,0,1,fall,60.8213,42.9861,False
rev_not,tt,1.62,125,A,Y,1,0,rise,97.2895,100.489,False
rev_not,tt,1.98,-40,A,Y,0,1,fall,43.4602,30.8887,False
rev_not,tt,1.98,-40,A,Y,1,0,rise,89.1665,86.5556,False
rev_not,ss,1.8,27,A,Y,0,1,fall,58.6605,38.068,False
rev_not,ss,1.8,27,A,Y,1,0,rise,128.458,131.5136,False
rev_not,ss,1.62,125,A,Y,0,1,fall,72.1066,51.0955,False
rev_not,ss,1.62,125,A,Y,1,0,rise,131.9486,139.894,False
rev_not,ss,1.98,-40,A,Y,0,1,fall,49.837,31.8768,False
rev_not,ss,1.98,-40,A,Y,1,0,rise,119.2281,119.693,False
rev_not,ff,1.8,27,A,Y,0,1,fall,43.6311,33.8588,False
rev_not,ff,1.8,27,A,Y,1,0,rise,74.9453,74.0854,False
rev_not,ff,1.62,125,A,Y,0,1,fall,52.1281,39.0048,False
rev_not,ff,1.62,125,A,Y,1,0,rise,79.4098,80.5801,False
rev_not,ff,1.98,-40,A,Y,0,1,fall,36.9041,31.3239,False
rev_not,ff,1.98,-40,A,Y,1,0,rise,70.7127,70.9175,False
rev_not,sf,1.8,27,A,Y,0,1,fall,42.9238,33.6043,False
rev_not,sf,1.8,27,A,Y,1,0,rise,130.164,132.948,False
rev_not,sf,1.62,125,A,Y,0,1,fall,51.2985,38.6279,False
rev_not,sf,1.62,125,A,Y,1,0,rise,137.0584,146.5867,False
rev_not,sf,1.98,-40,A,Y,0,1,fall,36.2476,31.2423,False
rev_not,sf,1.98,-40,A,Y,1,0,rise,117.4135,115.9452,False
rev_not,fs,1.8,27,A,Y,0,1,fall,59.468,38.147,False
rev_not,fs,1.8,27,A,Y,1,0,rise,74.0782,73.8267,False
rev_not,fs,1.62,125,A,Y,0,1,fall,73.7753,52.284,False
rev_not,fs,1.62,125,A,Y,1,0,rise,80.8062,82.8792,False
rev_not,fs,1.98,-40,A,Y,0,1,fall,50.2643,31.4972,False
rev_not,fs,1.98,-40,A,Y,1,0,rise,68.6971,69.5787,False
rev_cnot,tt,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,00,10,rise,140.6922,232.3154,False
rev_cnot,tt,1.8,27,B,B_OUT,00,01,rise,48.1538,132.059,False
rev_cnot,tt,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,01,11,fall,66.3974,60.8024,False
rev_cnot,tt,1.8,27,B,B_OUT,01,00,fall,47.8448,55.7099,False
rev_cnot,tt,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,10,00,fall,102.8928,57.9365,False
rev_cnot,tt,1.8,27,B,B_OUT,10,11,fall,91.3338,63.5462,False
rev_cnot,tt,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,11,01,rise,103.6772,111.3175,False
rev_cnot,tt,1.8,27,B,B_OUT,11,10,rise,188.8786,247.7548,False
rev_cnot,tt,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,00,10,rise,159.7484,257.2705,False
rev_cnot,tt,1.62,125,B,B_OUT,00,01,rise,54.8647,138.4132,False
rev_cnot,tt,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,01,11,fall,84.6317,86.733,False
rev_cnot,tt,1.62,125,B,B_OUT,01,00,fall,54.0511,66.6337,False
rev_cnot,tt,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,10,00,fall,112.6734,73.057,False
rev_cnot,tt,1.62,125,B,B_OUT,10,11,fall,116.3348,92.336,False
rev_cnot,tt,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,11,01,rise,107.5925,120.0515,False
rev_cnot,tt,1.62,125,B,B_OUT,11,10,rise,204.3251,271.7079,False
rev_cnot,tt,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.98,-40,A,B_OUT,00,10,rise,120.9535,205.3493,False
