cell,corner,vdd_V,temp_C,truth_rows,directed_transitions,status,max_delay_ps,max_slew_20_80_ps
rev_not,tt,1.8,27,2,2,PASS,85.8044,83.7673
rev_not,tt,1.62,125,2,2,PASS,87.6006,89.6162
rev_not,tt,1.98,-40,2,2,PASS,81.003,77.2819
rev_not,ss,1.8,27,2,2,PASS,115.4135,117.227
rev_not,ss,1.62,125,2,2,PASS,118.0612,124.833
rev_not,ss,1.98,-40,2,2,PASS,107.5343,106.6497
rev_not,ff,1.8,27,2,2,PASS,68.1439,66.7708
rev_not,ff,1.62,125,2,2,PASS,71.826,72.6013
rev_not,ff,1.98,-40,2,2,PASS,64.4722,63.8724
rev_not,sf,1.8,27,2,2,PASS,117.2497,118.4093
rev_not,sf,1.62,125,2,2,PASS,122.869,130.6684
rev_not,sf,1.98,-40,2,2,PASS,106.299,103.2427
rev_not,fs,1.8,27,2,2,PASS,67.041,66.7024
rev_not,fs,1.62,125,2,2,PASS,72.6513,74.8047
rev_not,fs,1.98,-40,2,2,PASS,62.3644,62.8977
rev_cnot,tt,1.8,27,4,8,PASS,139.8757,188.7438
rev_cnot,tt,1.62,125,4,8,PASS,151.2709,208.9319
rev_cnot,tt,1.98,-40,4,8,PASS,125.2909,167.3864
rev_cnot,ss,1.8,27,4,8,PASS,200.988,274.9284
rev_cnot,ss,1.62,125,4,8,PASS,217.1091,302.9765
rev_cnot,ss,1.98,-40,4,8,PASS,177.5845,240.7254
rev_cnot,ff,1.8,27,4,8,PASS,104.4066,140.2163
rev_cnot,ff,1.62,125,4,8,PASS,116.143,158.5536
rev_cnot,ff,1.98,-40,4,8,PASS,94.5466,128.8568
rev_cnot,sf,1.8,27,4,8,PASS,175.5884,258.2568
rev_cnot,sf,1.62,125,4,8,PASS,194.785,297.1287
rev_cnot,sf,1.98,-40,4,8,PASS,151.5082,216.8318
rev_cnot,fs,1.8,27,4,8,PASS,115.5569,145.6117
rev_cnot,fs,1.62,125,4,8,PASS,131.9571,167.367
rev_cnot,fs,1.98,-40,4,8,PASS,102.9332,132.8319
rev_toffoli,tt,1.8,27,8,24,PASS,162.1999,187.482
rev_toffoli,tt,1.62,125,8,24,PASS,178.6,207.8234
rev_toffoli,tt,1.98,-40,8,24,PASS,145.3697,166.1156
rev_toffoli,ss,1.8,27,8,24,PASS,233.7146,272.9811
rev_toffoli,ss,1.62,125,8,24,PASS,257.9463,301.2709
rev_toffoli,ss,1.98,-40,8,24,PASS,206.3916,238.8491
rev_toffoli,ff,1.8,27,8,24,PASS,120.4544,139.2888
rev_toffoli,ff,1.62,125,8,24,PASS,135.5545,157.7232
rev_toffoli,ff,1.98,-40,8,24,PASS,109.3605,127.8382
rev_toffoli,sf,1.8,27,8,24,PASS,197.9917,256.0704
rev_toffoli,sf,1.62,125,8,24,PASS,221.7008,294.6985
rev_toffoli,sf,1.98,-40,8,24,PASS,171.4297,214.9788
rev_toffoli,fs,1.8,27,8,24,PASS,142.0559,145.1668
rev_toffoli,fs,1.62,125,8,24,PASS,166.6511,167.3253
rev_toffoli,fs,1.98,-40,8,24,PASS,125.5734,132.0716
