cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_not,tt,1.8,27,A,Y,0,1,fall,47.0662,32.4417,False
rev_not,tt,1.8,27,A,Y,1,0,rise,85.8044,83.7673,False
rev_not,tt,1.62,125,A,Y,0,1,fall,56.0695,39.3238,False
rev_not,tt,1.62,125,A,Y,1,0,rise,87.6006,89.6162,False
rev_not,tt,1.98,-40,A,Y,0,1,fall,39.9314,29.2223,False
rev_not,tt,1.98,-40,A,Y,1,0,rise,81.003,77.2819,False
rev_not,ss,1.8,27,A,Y,0,1,fall,54.3118,34.9679,False
rev_not,ss,1.8,27,A,Y,1,0,rise,115.4135,117.227,False
rev_not,ss,1.62,125,A,Y,0,1,fall,66.1875,46.0546,False
rev_not,ss,1.62,125,A,Y,1,0,rise,118.0612,124.833,False
rev_not,ss,1.98,-40,A,Y,0,1,fall,46.2095,29.9132,False
rev_not,ss,1.98,-40,A,Y,1,0,rise,107.5343,106.6497,False
rev_not,ff,1.8,27,A,Y,0,1,fall,39.9478,31.7676,False
rev_not,ff,1.8,27,A,Y,1,0,rise,68.1439,66.7708,False
rev_not,ff,1.62,125,A,Y,0,1,fall,48.0694,36.2281,False
rev_not,ff,1.62,125,A,Y,1,0,rise,71.826,72.6013,False
rev_not,ff,1.98,-40,A,Y,0,1,fall,33.535,29.7002,False
rev_not,ff,1.98,-40,A,Y,1,0,rise,64.4722,63.8724,False
rev_not,sf,1.8,27,A,Y,0,1,fall,39.1547,31.6373,False
rev_not,sf,1.8,27,A,Y,1,0,rise,117.2497,118.4093,False
rev_not,sf,1.62,125,A,Y,0,1,fall,47.15,35.8493,False
rev_not,sf,1.62,125,A,Y,1,0,rise,122.869,130.6684,False
rev_not,sf,1.98,-40,A,Y,0,1,fall,32.83,29.6578,False
rev_not,sf,1.98,-40,A,Y,1,0,rise,106.299,103.2427,False
rev_not,fs,1.8,27,A,Y,0,1,fall,55.1955,34.7939,False
rev_not,fs,1.8,27,A,Y,1,0,rise,67.041,66.7024,False
rev_not,fs,1.62,125,A,Y,0,1,fall,67.8039,46.9783,False
rev_not,fs,1.62,125,A,Y,1,0,rise,72.6513,74.8047,False
rev_not,fs,1.98,-40,A,Y,0,1,fall,46.7792,29.4785,False
rev_not,fs,1.98,-40,A,Y,1,0,rise,62.3644,62.8977,False
rev_cnot,tt,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,00,10,rise,113.1944,181.8424,False
rev_cnot,tt,1.8,27,B,B_OUT,00,01,rise,42.3511,115.1119,False
rev_cnot,tt,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,01,11,fall,57.9142,52.2492,False
rev_cnot,tt,1.8,27,B,B_OUT,01,00,fall,43.3757,49.0849,False
rev_cnot,tt,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,10,00,fall,77.0447,39.9505,False
rev_cnot,tt,1.8,27,B,B_OUT,10,11,fall,70.0657,51.3403,False
rev_cnot,tt,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,tt,1.8,27,A,B_OUT,11,01,rise,81.2954,84.8644,False
rev_cnot,tt,1.8,27,B,B_OUT,11,10,rise,139.8757,188.7438,False
rev_cnot,tt,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,00,10,rise,128.8429,203.3242,False
rev_cnot,tt,1.62,125,B,B_OUT,00,01,rise,48.603,118.8769,False
rev_cnot,tt,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,01,11,fall,73.369,73.1892,False
rev_cnot,tt,1.62,125,B,B_OUT,01,00,fall,48.9062,57.4451,False
rev_cnot,tt,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,10,00,fall,83.831,51.0598,False
rev_cnot,tt,1.62,125,B,B_OUT,10,11,fall,88.8825,74.0586,False
rev_cnot,tt,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,tt,1.62,125,A,B_OUT,11,01,rise,85.9164,93.8261,False
rev_cnot,tt,1.62,125,B,B_OUT,11,10,rise,151.2709,208.9319,False
rev_cnot,tt,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,tt,1.98,-40,A,B_OUT,00,10,rise,97.3496,160.2974,False
rev_cnot,tt,1.98,-40,B,B_OUT,00,01,rise,34.6051,109.3827,False
rev_cnot,tt,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,tt,1.98,-40,A,B_OUT,01,11,fall,47.5011,41.0986,False
rev_cnot,tt,1.98,-40,B,B_OUT,01,00,fall,37.9546,44.7252,False
rev_cnot,tt,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,tt,1.98,-40,A,B_OUT,10,00,fall,69.8898,32.8926,False
rev_cnot,tt,1.98,-40,B,B_OUT,10,11,fall,57.6714,39.2824,False
rev_cnot,tt,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,tt,1.98,-40,A,B_OUT,11,01,rise,74.2179,75.7997,False
rev_cnot,tt,1.98,-40,B,B_OUT,11,10,rise,125.2909,167.3864,False
rev_cnot,ss,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ss,1.8,27,A,B_OUT,00,10,rise,161.2564,269.0893,False
rev_cnot,ss,1.8,27,B,B_OUT,00,01,rise,55.2222,145.0737,False
rev_cnot,ss,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ss,1.8,27,A,B_OUT,01,11,fall,70.7217,62.744,False
rev_cnot,ss,1.8,27,B,B_OUT,01,00,fall,52.264,49.7773,False
rev_cnot,ss,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ss,1.8,27,A,B_OUT,10,00,fall,101.8348,50.1624,False
rev_cnot,ss,1.8,27,B,B_OUT,10,11,fall,85.4733,63.1,False
rev_cnot,ss,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ss,1.8,27,A,B_OUT,11,01,rise,112.6457,122.0395,False
rev_cnot,ss,1.8,27,B,B_OUT,11,10,rise,200.988,274.9284,False
rev_cnot,ss,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,00,10,rise,182.0176,297.1158,False
rev_cnot,ss,1.62,125,B,B_OUT,00,01,rise,63.562,151.7823,False
rev_cnot,ss,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,01,11,fall,93.2362,94.6736,False
rev_cnot,ss,1.62,125,B,B_OUT,01,00,fall,60.1416,62.8819,False
rev_cnot,ss,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,10,00,fall,113.0436,66.7629,False
rev_cnot,ss,1.62,125,B,B_OUT,10,11,fall,113.1132,96.34,False
rev_cnot,ss,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ss,1.62,125,A,B_OUT,11,01,rise,118.9869,133.7293,False
rev_cnot,ss,1.62,125,B,B_OUT,11,10,rise,217.1091,302.9765,False
rev_cnot,ss,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,00,10,rise,137.707,234.1157,False
rev_cnot,ss,1.98,-40,B,B_OUT,00,01,rise,46.6846,134.5854,False
rev_cnot,ss,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,01,11,fall,56.3277,46.009,False
rev_cnot,ss,1.98,-40,B,B_OUT,01,00,fall,45.7045,43.1307,False
rev_cnot,ss,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,10,00,fall,90.4256,39.7871,False
rev_cnot,ss,1.98,-40,B,B_OUT,10,11,fall,67.8097,44.6756,False
rev_cnot,ss,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ss,1.98,-40,A,B_OUT,11,01,rise,101.3477,107.5749,False
rev_cnot,ss,1.98,-40,B,B_OUT,11,10,rise,177.5845,240.7254,False
rev_cnot,ff,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,00,10,rise,84.0535,133.8404,False
rev_cnot,ff,1.8,27,B,B_OUT,00,01,rise,30.9155,98.0497,False
rev_cnot,ff,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,01,11,fall,47.4534,45.9735,False
rev_cnot,ff,1.8,27,B,B_OUT,01,00,fall,35.2454,49.6704,False
rev_cnot,ff,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,10,00,fall,60.6961,33.7591,False
rev_cnot,ff,1.8,27,B,B_OUT,10,11,fall,58.6506,44.8694,False
rev_cnot,ff,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,11,01,rise,61.9796,65.4371,False
rev_cnot,ff,1.8,27,B,B_OUT,11,10,rise,104.4066,140.2163,False
rev_cnot,ff,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,00,10,rise,97.8079,152.5729,False
rev_cnot,ff,1.62,125,B,B_OUT,00,01,rise,37.7471,101.608,False
rev_cnot,ff,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,01,11,fall,59.1618,60.1225,False
rev_cnot,ff,1.62,125,B,B_OUT,01,00,fall,40.4239,54.4555,False
rev_cnot,ff,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,10,00,fall,67.0006,41.6464,False
rev_cnot,ff,1.62,125,B,B_OUT,10,11,fall,72.4323,59.9921,False
rev_cnot,ff,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,11,01,rise,67.5696,73.6195,False
rev_cnot,ff,1.62,125,B,B_OUT,11,10,rise,116.143,158.5536,False
rev_cnot,ff,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,00,10,rise,73.6798,122.7495,False
rev_cnot,ff,1.98,-40,B,B_OUT,00,01,rise,23.9126,95.4392,False
rev_cnot,ff,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,01,11,fall,38.5782,38.3519,False
rev_cnot,ff,1.98,-40,B,B_OUT,01,00,fall,30.7144,46.3298,False
rev_cnot,ff,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,10,00,fall,55.0652,29.2817,False
rev_cnot,ff,1.98,-40,B,B_OUT,10,11,fall,49.4103,36.9805,False
rev_cnot,ff,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,11,01,rise,56.7036,60.7774,False
rev_cnot,ff,1.98,-40,B,B_OUT,11,10,rise,94.5466,128.8568,False
rev_cnot,sf,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,00,10,rise,124.5356,251.0831,False
rev_cnot,sf,1.8,27,B,B_OUT,00,01,rise,35.6884,131.8478,False
rev_cnot,sf,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,01,11,fall,49.2483,46.2959,False
rev_cnot,sf,1.8,27,B,B_OUT,01,00,fall,42.1893,42.2848,False
rev_cnot,sf,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,10,00,fall,91.2873,39.7737,False
rev_cnot,sf,1.8,27,B,B_OUT,10,11,fall,60.0512,44.0417,False
rev_cnot,sf,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,11,01,rise,97.7951,107.3587,False
rev_cnot,sf,1.8,27,B,B_OUT,11,10,rise,175.5884,258.2568,False
rev_cnot,sf,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,00,10,rise,145.292,290.401,False
rev_cnot,sf,1.62,125,B,B_OUT,00,01,rise,44.2468,143.2274,False
rev_cnot,sf,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,01,11,fall,61.2609,60.4693,False
rev_cnot,sf,1.62,125,B,B_OUT,01,00,fall,48.182,48.2258,False
rev_cnot,sf,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
